year,state,legal1820,dtype,agegr,count,pop,age,legal,beertaxa,beerpercap,winepercap,spiritpercap,totpercap,mrate
1976,5,0,suicide,18-20 yrs,17,118556,18.981966,0,.28346276,.86000001,.12,.67000002,1.66,14.339215
1976,5,0,homicide,18-20 yrs,15,118556,18.981966,0,.28346276,.86000001,.12,.67000002,1.66,12.652248
1976,5,0,other external,18-20 yrs,31,118556,18.981966,0,.28346276,.86000001,.12,.67000002,1.66,26.147982
1976,5,0,internal,18-20 yrs,37,118556,18.981966,0,.28346276,.86000001,.12,.67000002,1.66,31.208879
1976,5,0,all,21-24 yrs,188,140808,22.470022,1,.28346276,.86000001,.12,.67000002,1.66,133.51514
1976,5,0,MVA,21-24 yrs,67,140808,22.470022,1,.28346276,.86000001,.12,.67000002,1.66,47.582523
1976,5,0,suicide,21-24 yrs,15,140808,22.470022,1,.28346276,.86000001,.12,.67000002,1.66,10.652803
1976,5,0,homicide,21-24 yrs,22,140808,22.470022,1,.28346276,.86000001,.12,.67000002,1.66,15.624112
1976,5,0,other external,21-24 yrs,47,140808,22.470022,1,.28346276,.86000001,.12,.67000002,1.66,33.378784
1976,5,0,internal,21-24 yrs,37,140808,22.470022,1,.28346276,.86000001,.12,.67000002,1.66,26.276917
1977,5,0,MVA,15-17 yrs,41,129599,15.993889,0,.26615566,.92000002,.1,.63,1.65,31.636047
1977,5,0,suicide,15-17 yrs,7,129599,15.993889,0,.26615566,.92000002,.1,.63,1.65,5.4012761
1977,5,0,homicide,15-17 yrs,6,129599,15.993889,0,.26615566,.92000002,.1,.63,1.65,4.6296654
1977,5,0,other external,15-17 yrs,40,129599,15.993889,0,.26615566,.92000002,.1,.63,1.65,30.864435
1977,5,0,internal,15-17 yrs,25,129599,15.993889,0,.26615566,.92000002,.1,.63,1.65,19.290272
1977,5,0,all,18-20 yrs,135,121047,18.992002,0,.26615566,.92000002,.1,.63,1.65,111.52692
1977,5,0,MVA,18-20 yrs,63,121047,18.992002,0,.26615566,.92000002,.1,.63,1.65,52.045898
1977,5,0,suicide,18-20 yrs,13,121047,18.992002,0,.26615566,.92000002,.1,.63,1.65,10.73963
1977,5,0,homicide,18-20 yrs,9,121047,18.992002,0,.26615566,.92000002,.1,.63,1.65,7.4351287
1977,5,0,other external,18-20 yrs,32,121047,18.992002,0,.26615566,.92000002,.1,.63,1.65,26.436012
1977,5,0,internal,18-20 yrs,18,121047,18.992002,0,.26615566,.92000002,.1,.63,1.65,14.870257
1977,5,0,all,21-24 yrs,211,144148,22.46002,1,.26615566,.92000002,.1,.63,1.65,146.37733
1977,5,0,MVA,21-24 yrs,73,144148,22.46002,1,.26615566,.92000002,.1,.63,1.65,50.642395
1977,5,0,suicide,21-24 yrs,29,144148,22.46002,1,.26615566,.92000002,.1,.63,1.65,20.118212
1977,5,0,homicide,21-24 yrs,21,144148,22.46002,1,.26615566,.92000002,.1,.63,1.65,14.56836
1977,5,0,other external,21-24 yrs,39,144148,22.46002,1,.26615566,.92000002,.1,.63,1.65,27.055527
1977,5,0,internal,21-24 yrs,49,144148,22.46002,1,.26615566,.92000002,.1,.63,1.65,33.99284
1978,5,0,MVA,15-17 yrs,42,131023,15.991582,0,.2473778,.97000003,.11,.73000002,1.8200001,32.055439
1978,5,0,suicide,15-17 yrs,4,131023,15.991582,0,.2473778,.97000003,.11,.73000002,1.8200001,3.0528991
1978,5,0,homicide,15-17 yrs,8,131023,15.991582,0,.2473778,.97000003,.11,.73000002,1.8200001,6.1057982
1978,5,0,other external,15-17 yrs,26,131023,15.991582,0,.2473778,.97000003,.11,.73000002,1.8200001,19.843843
1978,5,0,internal,15-17 yrs,31,131023,15.991582,0,.2473778,.97000003,.11,.73000002,1.8200001,23.659967
1978,5,0,all,18-20 yrs,173,122197,18.990196,0,.2473778,.97000003,.11,.73000002,1.8200001,141.57468
1978,5,0,MVA,18-20 yrs,79,122197,18.990196,0,.2473778,.97000003,.11,.73000002,1.8200001,64.649704
1978,5,0,suicide,18-20 yrs,12,122197,18.990196,0,.2473778,.97000003,.11,.73000002,1.8200001,9.8202085
1978,5,0,homicide,18-20 yrs,15,122197,18.990196,0,.2473778,.97000003,.11,.73000002,1.8200001,12.27526
1978,5,0,other external,18-20 yrs,39,122197,18.990196,0,.2473778,.97000003,.11,.73000002,1.8200001,31.915678
1978,5,0,internal,18-20 yrs,28,122197,18.990196,0,.2473778,.97000003,.11,.73000002,1.8200001,22.91382
1978,5,0,all,21-24 yrs,210,148940,22.465443,1,.2473778,.97000003,.11,.73000002,1.8200001,140.99637
1978,5,0,MVA,21-24 yrs,68,148940,22.465443,1,.2473778,.97000003,.11,.73000002,1.8200001,45.655968
1978,5,0,suicide,21-24 yrs,25,148940,22.465443,1,.2473778,.97000003,.11,.73000002,1.8200001,16.785282
1978,5,0,homicide,21-24 yrs,31,148940,22.465443,1,.2473778,.97000003,.11,.73000002,1.8200001,20.813751
1978,5,0,other external,21-24 yrs,52,148940,22.465443,1,.2473778,.97000003,.11,.73000002,1.8200001,34.913387
1978,5,0,internal,21-24 yrs,34,148940,22.465443,1,.2473778,.97000003,.11,.73000002,1.8200001,22.827984
1979,5,0,MVA,15-17 yrs,53,130979,15.996602,0,.22216298,.93000001,.1,.56999999,1.6,40.4645
1979,5,0,suicide,15-17 yrs,4,130979,15.996602,0,.22216298,.93000001,.1,.56999999,1.6,3.0539246
1979,5,0,homicide,15-17 yrs,9,130979,15.996602,0,.22216298,.93000001,.1,.56999999,1.6,6.8713307
1979,5,0,other external,15-17 yrs,24,130979,15.996602,0,.22216298,.93000001,.1,.56999999,1.6,18.323547
1979,5,0,internal,15-17 yrs,19,130979,15.996602,0,.22216298,.93000001,.1,.56999999,1.6,14.506143
1979,5,0,all,18-20 yrs,168,123179,18.989843,0,.22216298,.93000001,.1,.56999999,1.6,136.38689
1979,5,0,MVA,18-20 yrs,70,123179,18.989843,0,.22216298,.93000001,.1,.56999999,1.6,56.827869
1979,5,0,suicide,18-20 yrs,14,123179,18.989843,0,.22216298,.93000001,.1,.56999999,1.6,11.365574
1979,5,0,homicide,18-20 yrs,14,123179,18.989843,0,.22216298,.93000001,.1,.56999999,1.6,11.365574
1979,5,0,other external,18-20 yrs,39,123179,18.989843,0,.22216298,.93000001,.1,.56999999,1.6,31.661242
1979,5,0,internal,18-20 yrs,31,123179,18.989843,0,.22216298,.93000001,.1,.56999999,1.6,25.166628
1979,5,0,all,21-24 yrs,188,151079,22.471449,1,.22216298,.93000001,.1,.56999999,1.6,124.43821
1979,5,0,MVA,21-24 yrs,50,151079,22.471449,1,.22216298,.93000001,.1,.56999999,1.6,33.095268
1979,5,0,suicide,21-24 yrs,24,151079,22.471449,1,.22216298,.93000001,.1,.56999999,1.6,15.885729
1979,5,0,homicide,21-24 yrs,33,151079,22.471449,1,.22216298,.93000001,.1,.56999999,1.6,21.842876
1979,5,0,other external,21-24 yrs,38,151079,22.471449,1,.22216298,.93000001,.1,.56999999,1.6,25.152403
1979,5,0,internal,21-24 yrs,43,151079,22.471449,1,.22216298,.93000001,.1,.56999999,1.6,28.461931
1980,5,0,MVA,15-17 yrs,57,128751,16.015448,0,.19574067,1,.12,.69,1.8099999,44.2715
1980,5,0,suicide,15-17 yrs,9,128751,16.015448,0,.19574067,1,.12,.69,1.8099999,6.9902368
1980,5,0,homicide,15-17 yrs,9,128751,16.015448,0,.19574067,1,.12,.69,1.8099999,6.9902368
1980,5,0,other external,15-17 yrs,30,128751,16.015448,0,.19574067,1,.12,.69,1.8099999,23.300791
1980,5,0,internal,15-17 yrs,26,128751,16.015448,0,.19574067,1,.12,.69,1.8099999,20.194017
1980,5,0,all,18-20 yrs,173,125804,18.991383,0,.19574067,1,.12,.69,1.8099999,137.5155
1980,5,0,MVA,18-20 yrs,73,125804,18.991383,0,.19574067,1,.12,.69,1.8099999,58.026772
1980,5,0,suicide,18-20 yrs,16,125804,18.991383,0,.19574067,1,.12,.69,1.8099999,12.718197
1980,5,0,homicide,18-20 yrs,17,125804,18.991383,0,.19574067,1,.12,.69,1.8099999,13.513083
1980,5,0,other external,18-20 yrs,40,125804,18.991383,0,.19574067,1,.12,.69,1.8099999,31.795492
1980,5,0,internal,18-20 yrs,27,125804,18.991383,0,.19574067,1,.12,.69,1.8099999,21.461956
1980,5,0,all,21-24 yrs,210,153431,22.47751,1,.19574067,1,.12,.69,1.8099999,136.86934
1980,5,0,MVA,21-24 yrs,77,153431,22.47751,1,.19574067,1,.12,.69,1.8099999,50.185425
1980,5,0,suicide,21-24 yrs,17,153431,22.47751,1,.19574067,1,.12,.69,1.8099999,11.079899
1980,5,0,homicide,21-24 yrs,43,153431,22.47751,1,.19574067,1,.12,.69,1.8099999,28.025627
1980,5,0,other external,21-24 yrs,35,153431,22.47751,1,.19574067,1,.12,.69,1.8099999,22.811558
1980,5,0,internal,21-24 yrs,38,153431,22.47751,1,.19574067,1,.12,.69,1.8099999,24.766832
1981,5,0,MVA,15-17 yrs,48,122480,16.043476,0,.1774371,1.0599999,.12,.68000001,1.87,39.190071
1981,5,0,suicide,15-17 yrs,14,122480,16.043476,0,.1774371,1.0599999,.12,.68000001,1.87,11.430438
1981,5,0,homicide,15-17 yrs,6,122480,16.043476,0,.1774371,1.0599999,.12,.68000001,1.87,4.8987589
1981,5,0,other external,15-17 yrs,14,122480,16.043476,0,.1774371,1.0599999,.12,.68000001,1.87,11.430438
1981,5,0,internal,15-17 yrs,10,122480,16.043476,0,.1774371,1.0599999,.12,.68000001,1.87,8.1645985
1981,5,0,all,18-20 yrs,122,127239,18.997438,0,.1774371,1.0599999,.12,.68000001,1.87,95.882553
1981,5,0,MVA,18-20 yrs,56,127239,18.997438,0,.1774371,1.0599999,.12,.68000001,1.87,44.011662
1981,5,0,suicide,18-20 yrs,12,127239,18.997438,0,.1774371,1.0599999,.12,.68000001,1.87,9.4310703
1981,5,0,homicide,18-20 yrs,6,127239,18.997438,0,.1774371,1.0599999,.12,.68000001,1.87,4.7155352
1981,5,0,other external,18-20 yrs,28,127239,18.997438,0,.1774371,1.0599999,.12,.68000001,1.87,22.005831
1981,5,0,internal,18-20 yrs,20,127239,18.997438,0,.1774371,1.0599999,.12,.68000001,1.87,15.718451
1981,5,0,all,21-24 yrs,222,154596,22.484249,1,.1774371,1.0599999,.12,.68000001,1.87,143.6001
1981,5,0,MVA,21-24 yrs,78,154596,22.484249,1,.1774371,1.0599999,.12,.68000001,1.87,50.454086
1981,5,0,suicide,21-24 yrs,26,154596,22.484249,1,.1774371,1.0599999,.12,.68000001,1.87,16.818029
1981,5,0,homicide,21-24 yrs,36,154596,22.484249,1,.1774371,1.0599999,.12,.68000001,1.87,23.286501
1981,5,0,other external,21-24 yrs,30,154596,22.484249,1,.1774371,1.0599999,.12,.68000001,1.87,19.405418
1981,5,0,internal,21-24 yrs,52,154596,22.484249,1,.1774371,1.0599999,.12,.68000001,1.87,33.636059
1982,5,0,MVA,15-17 yrs,34,115033,16.043919,0,.16714023,1.03,.12,.63,1.78,29.556736
1982,5,0,suicide,15-17 yrs,4,115033,16.043919,0,.16714023,1.03,.12,.63,1.78,3.477263
1982,5,0,homicide,15-17 yrs,6,115033,16.043919,0,.16714023,1.03,.12,.63,1.78,5.2158947
1982,5,0,other external,15-17 yrs,18,115033,16.043919,0,.16714023,1.03,.12,.63,1.78,15.647684
1982,5,0,internal,15-17 yrs,16,115033,16.043919,0,.16714023,1.03,.12,.63,1.78,13.909052
1982,5,0,all,18-20 yrs,156,127345,19.000957,0,.16714023,1.03,.12,.63,1.78,122.50186
1982,5,0,MVA,18-20 yrs,64,127345,19.000957,0,.16714023,1.03,.12,.63,1.78,50.257175
1982,5,0,suicide,18-20 yrs,18,127345,19.000957,0,.16714023,1.03,.12,.63,1.78,14.13483
1982,5,0,homicide,18-20 yrs,22,127345,19.000957,0,.16714023,1.03,.12,.63,1.78,17.275904
1982,5,0,other external,18-20 yrs,22,127345,19.000957,0,.16714023,1.03,.12,.63,1.78,17.275904
1982,5,0,internal,18-20 yrs,30,127345,19.000957,0,.16714023,1.03,.12,.63,1.78,23.55805
1982,5,0,all,21-24 yrs,190,155632,22.473764,1,.16714023,1.03,.12,.63,1.78,122.08286
1982,5,0,MVA,21-24 yrs,58,155632,22.473764,1,.16714023,1.03,.12,.63,1.78,37.267399
1982,5,0,suicide,21-24 yrs,26,155632,22.473764,1,.16714023,1.03,.12,.63,1.78,16.706076
1982,5,0,homicide,21-24 yrs,14,155632,22.473764,1,.16714023,1.03,.12,.63,1.78,8.9955797
1982,5,0,other external,21-24 yrs,48,155632,22.473764,1,.16714023,1.03,.12,.63,1.78,30.841986
1982,5,0,internal,21-24 yrs,44,155632,22.473764,1,.16714023,1.03,.12,.63,1.78,28.27182
1983,5,0,MVA,15-17 yrs,37,109538,16.024029,0,.16193807,1.03,.13,.63,1.78,33.778233
1983,5,0,suicide,15-17 yrs,12,109538,16.024029,0,.16193807,1.03,.13,.63,1.78,10.955102
1983,5,0,homicide,15-17 yrs,0,109538,16.024029,0,.16193807,1.03,.13,.63,1.78,0
1983,5,0,other external,15-17 yrs,8,109538,16.024029,0,.16193807,1.03,.13,.63,1.78,7.3034015
1983,5,0,internal,15-17 yrs,20,109538,16.024029,0,.16193807,1.03,.13,.63,1.78,18.258503
1983,5,0,all,18-20 yrs,139,126123,19.02014,0,.16193807,1.03,.13,.63,1.78,110.20988
1983,5,0,MVA,18-20 yrs,69,126123,19.02014,0,.16193807,1.03,.13,.63,1.78,54.7085
1983,5,0,suicide,18-20 yrs,18,126123,19.02014,0,.16193807,1.03,.13,.63,1.78,14.271782
1983,5,0,homicide,18-20 yrs,10,126123,19.02014,0,.16193807,1.03,.13,.63,1.78,7.9287682
1983,5,0,other external,18-20 yrs,23,126123,19.02014,0,.16193807,1.03,.13,.63,1.78,18.236166
1983,5,0,internal,18-20 yrs,19,126123,19.02014,0,.16193807,1.03,.13,.63,1.78,15.064659
1983,5,0,all,21-24 yrs,197,157427,22.470383,1,.16193807,1.03,.13,.63,1.78,125.13737
1983,5,0,MVA,21-24 yrs,78,157427,22.470383,1,.16193807,1.03,.13,.63,1.78,49.546776
1983,5,0,suicide,21-24 yrs,20,157427,22.470383,1,.16193807,1.03,.13,.63,1.78,12.704301
1983,5,0,homicide,21-24 yrs,28,157427,22.470383,1,.16193807,1.03,.13,.63,1.78,17.786022
1983,5,0,other external,21-24 yrs,30,157427,22.470383,1,.16193807,1.03,.13,.63,1.78,19.056452
1983,5,0,internal,21-24 yrs,41,157427,22.470383,1,.16193807,1.03,.13,.63,1.78,26.043818
1984,5,0,MVA,15-17 yrs,35,108606,16.006933,0,.15523611,1.02,.12,.63999999,1.78,32.226582
1984,5,0,suicide,15-17 yrs,12,108606,16.006933,0,.15523611,1.02,.12,.63999999,1.78,11.049113
1984,5,0,homicide,15-17 yrs,3,108606,16.006933,0,.15523611,1.02,.12,.63999999,1.78,2.7622783
1984,5,0,other external,15-17 yrs,16,108606,16.006933,0,.15523611,1.02,.12,.63999999,1.78,14.732151
1984,5,0,internal,15-17 yrs,23,108606,16.006933,0,.15523611,1.02,.12,.63999999,1.78,21.177467
1984,5,0,all,18-20 yrs,136,121081,19.045969,0,.15523611,1.02,.12,.63999999,1.78,112.3215
1984,5,0,MVA,18-20 yrs,74,121081,19.045969,0,.15523611,1.02,.12,.63999999,1.78,61.116112
1984,5,0,suicide,18-20 yrs,16,121081,19.045969,0,.15523611,1.02,.12,.63999999,1.78,13.214294
1984,5,0,homicide,18-20 yrs,6,121081,19.045969,0,.15523611,1.02,.12,.63999999,1.78,4.9553604
1984,5,0,other external,18-20 yrs,18,121081,19.045969,0,.15523611,1.02,.12,.63999999,1.78,14.866081
1984,5,0,internal,18-20 yrs,22,121081,19.045969,0,.15523611,1.02,.12,.63999999,1.78,18.169655
1984,5,0,all,21-24 yrs,182,159120,22.470123,1,.15523611,1.02,.12,.63999999,1.78,114.37908
1984,5,0,MVA,21-24 yrs,66,159120,22.470123,1,.15523611,1.02,.12,.63999999,1.78,41.47813
1984,5,0,suicide,21-24 yrs,23,159120,22.470123,1,.15523611,1.02,.12,.63999999,1.78,14.4545
1984,5,0,homicide,21-24 yrs,24,159120,22.470123,1,.15523611,1.02,.12,.63999999,1.78,15.082956
1984,5,0,other external,21-24 yrs,29,159120,22.470123,1,.15523611,1.02,.12,.63999999,1.78,18.225239
1984,5,0,internal,21-24 yrs,40,159120,22.470123,1,.15523611,1.02,.12,.63999999,1.78,25.13826
1985,5,0,MVA,15-17 yrs,47,109878,15.992019,0,.14989807,1.03,.13,.57999998,1.75,42.774715
1985,5,0,suicide,15-17 yrs,7,109878,15.992019,0,.14989807,1.03,.13,.57999998,1.75,6.3707023
1985,5,0,homicide,15-17 yrs,4,109878,15.992019,0,.14989807,1.03,.13,.57999998,1.75,3.6404011
1985,5,0,other external,15-17 yrs,22,109878,15.992019,0,.14989807,1.03,.13,.57999998,1.75,20.022207
1985,5,0,internal,15-17 yrs,16,109878,15.992019,0,.14989807,1.03,.13,.57999998,1.75,14.561604
1985,5,0,all,18-20 yrs,125,114171,19.042559,0,.14989807,1.03,.13,.57999998,1.75,109.48489
1985,5,0,MVA,18-20 yrs,58,114171,19.042559,0,.14989807,1.03,.13,.57999998,1.75,50.800991
1985,5,0,suicide,18-20 yrs,12,114171,19.042559,0,.14989807,1.03,.13,.57999998,1.75,10.51055
1985,5,0,homicide,18-20 yrs,13,114171,19.042559,0,.14989807,1.03,.13,.57999998,1.75,11.386429
1985,5,0,other external,18-20 yrs,21,114171,19.042559,0,.14989807,1.03,.13,.57999998,1.75,18.393463
1985,5,0,internal,18-20 yrs,21,114171,19.042559,0,.14989807,1.03,.13,.57999998,1.75,18.393463
1985,5,0,all,21-24 yrs,188,159153,22.481104,1,.14989807,1.03,.13,.57999998,1.75,118.12533
1985,5,0,MVA,21-24 yrs,60,159153,22.481104,1,.14989807,1.03,.13,.57999998,1.75,37.699574
1985,5,0,suicide,21-24 yrs,31,159153,22.481104,1,.14989807,1.03,.13,.57999998,1.75,19.478113
1985,5,0,homicide,21-24 yrs,20,159153,22.481104,1,.14989807,1.03,.13,.57999998,1.75,12.566525
1985,5,0,other external,21-24 yrs,35,159153,22.481104,1,.14989807,1.03,.13,.57999998,1.75,21.991417
1985,5,0,internal,21-24 yrs,42,159153,22.481104,1,.14989807,1.03,.13,.57999998,1.75,26.3897
1986,5,0,MVA,15-17 yrs,47,112696,15.987817,0,.14716271,1.0599999,.090000004,.47999999,1.63,41.70512
1986,5,0,suicide,15-17 yrs,9,112696,15.987817,0,.14716271,1.0599999,.090000004,.47999999,1.63,7.9860864
1986,5,0,homicide,15-17 yrs,4,112696,15.987817,0,.14716271,1.0599999,.090000004,.47999999,1.63,3.5493717
1986,5,0,other external,15-17 yrs,15,112696,15.987817,0,.14716271,1.0599999,.090000004,.47999999,1.63,13.310144
1986,5,0,internal,15-17 yrs,20,112696,15.987817,0,.14716271,1.0599999,.090000004,.47999999,1.63,17.746859
1986,5,0,all,18-20 yrs,135,108585,19.018547,0,.14716271,1.0599999,.090000004,.47999999,1.63,124.32656
1986,5,0,MVA,18-20 yrs,67,108585,19.018547,0,.14716271,1.0599999,.090000004,.47999999,1.63,61.702812
1986,5,0,suicide,18-20 yrs,7,108585,19.018547,0,.14716271,1.0599999,.090000004,.47999999,1.63,6.4465628
1986,5,0,homicide,18-20 yrs,20,108585,19.018547,0,.14716271,1.0599999,.090000004,.47999999,1.63,18.418751
1986,5,0,other external,18-20 yrs,20,108585,19.018547,0,.14716271,1.0599999,.090000004,.47999999,1.63,18.418751
1986,5,0,internal,18-20 yrs,21,108585,19.018547,0,.14716271,1.0599999,.090000004,.47999999,1.63,19.339687
1986,5,0,all,21-24 yrs,200,156009,22.500093,1,.14716271,1.0599999,.090000004,.47999999,1.63,128.19774
1986,5,0,MVA,21-24 yrs,75,156009,22.500093,1,.14716271,1.0599999,.090000004,.47999999,1.63,48.07415
1986,5,0,suicide,21-24 yrs,27,156009,22.500093,1,.14716271,1.0599999,.090000004,.47999999,1.63,17.306694
1986,5,0,homicide,21-24 yrs,28,156009,22.500093,1,.14716271,1.0599999,.090000004,.47999999,1.63,17.947683
1986,5,0,other external,21-24 yrs,36,156009,22.500093,1,.14716271,1.0599999,.090000004,.47999999,1.63,23.075592
1986,5,0,internal,21-24 yrs,34,156009,22.500093,1,.14716271,1.0599999,.090000004,.47999999,1.63,21.793615
1987,5,0,MVA,15-17 yrs,57,113147,16.015909,0,.22007042,1.08,.11,.52999997,1.71,50.376942
1987,5,0,suicide,15-17 yrs,12,113147,16.015909,0,.22007042,1.08,.11,.52999997,1.71,10.605672
1987,5,0,homicide,15-17 yrs,4,113147,16.015909,0,.22007042,1.08,.11,.52999997,1.71,3.5352242
1987,5,0,other external,15-17 yrs,20,113147,16.015909,0,.22007042,1.08,.11,.52999997,1.71,17.676121
1987,5,0,internal,15-17 yrs,24,113147,16.015909,0,.22007042,1.08,.11,.52999997,1.71,21.211344
1987,5,0,all,18-20 yrs,143,107251,18.999664,0,.22007042,1.08,.11,.52999997,1.71,133.33209
1987,5,0,MVA,18-20 yrs,74,107251,18.999664,0,.22007042,1.08,.11,.52999997,1.71,68.997025
1987,5,0,suicide,18-20 yrs,8,107251,18.999664,0,.22007042,1.08,.11,.52999997,1.71,7.4591379
1987,5,0,homicide,18-20 yrs,9,107251,18.999664,0,.22007042,1.08,.11,.52999997,1.71,8.39153
1987,5,0,other external,18-20 yrs,22,107251,18.999664,0,.22007042,1.08,.11,.52999997,1.71,20.512629
1987,5,0,internal,18-20 yrs,30,107251,18.999664,0,.22007042,1.08,.11,.52999997,1.71,27.971767
1987,5,0,all,21-24 yrs,161,149586,22.536613,1,.22007042,1.08,.11,.52999997,1.71,107.63039
1987,5,0,MVA,21-24 yrs,71,149586,22.536613,1,.22007042,1.08,.11,.52999997,1.71,47.464336
1987,5,0,suicide,21-24 yrs,22,149586,22.536613,1,.22007042,1.08,.11,.52999997,1.71,14.707258
1987,5,0,homicide,21-24 yrs,18,149586,22.536613,1,.22007042,1.08,.11,.52999997,1.71,12.033212
1987,5,0,other external,21-24 yrs,17,149586,22.536613,1,.22007042,1.08,.11,.52999997,1.71,11.3647
1987,5,0,internal,21-24 yrs,33,149586,22.536613,1,.22007042,1.08,.11,.52999997,1.71,22.060888
1988,5,0,MVA,15-17 yrs,45,110897,16.039928,0,.21132714,1.0700001,.14,.52999997,1.74,40.578194
1988,5,0,suicide,15-17 yrs,15,110897,16.039928,0,.21132714,1.0700001,.14,.52999997,1.74,13.526065
1988,5,0,homicide,15-17 yrs,6,110897,16.039928,0,.21132714,1.0700001,.14,.52999997,1.74,5.4104257
1988,5,0,other external,15-17 yrs,15,110897,16.039928,0,.21132714,1.0700001,.14,.52999997,1.74,13.526065
1988,5,0,internal,15-17 yrs,26,110897,16.039928,0,.21132714,1.0700001,.14,.52999997,1.74,23.445179
1988,5,0,all,18-20 yrs,129,107451,18.984989,0,.21132714,1.0700001,.14,.52999997,1.74,120.05473
1988,5,0,MVA,18-20 yrs,62,107451,18.984989,0,.21132714,1.0700001,.14,.52999997,1.74,57.700718
1988,5,0,suicide,18-20 yrs,10,107451,18.984989,0,.21132714,1.0700001,.14,.52999997,1.74,9.3065672
1988,5,0,homicide,18-20 yrs,20,107451,18.984989,0,.21132714,1.0700001,.14,.52999997,1.74,18.613134
1988,5,0,other external,18-20 yrs,14,107451,18.984989,0,.21132714,1.0700001,.14,.52999997,1.74,13.029195
1988,5,0,internal,18-20 yrs,23,107451,18.984989,0,.21132714,1.0700001,.14,.52999997,1.74,21.405106
1988,5,0,all,21-24 yrs,173,140821,22.549406,1,.21132714,1.0700001,.14,.52999997,1.74,122.851
1988,5,0,MVA,21-24 yrs,66,140821,22.549406,1,.21132714,1.0700001,.14,.52999997,1.74,46.868011
1988,5,0,suicide,21-24 yrs,21,140821,22.549406,1,.21132714,1.0700001,.14,.52999997,1.74,14.912549
1988,5,0,homicide,21-24 yrs,27,140821,22.549406,1,.21132714,1.0700001,.14,.52999997,1.74,19.173277
1988,5,0,other external,21-24 yrs,23,140821,22.549406,1,.21132714,1.0700001,.14,.52999997,1.74,16.33279
1988,5,0,internal,21-24 yrs,36,140821,22.549406,1,.21132714,1.0700001,.14,.52999997,1.74,25.564369
1989,5,0,MVA,15-17 yrs,52,106585,16.023821,0,.2016129,1.08,.13,.56999999,1.78,48.787354
1989,5,0,suicide,15-17 yrs,13,106585,16.023821,0,.2016129,1.08,.13,.56999999,1.78,12.196838
1989,5,0,homicide,15-17 yrs,7,106585,16.023821,0,.2016129,1.08,.13,.56999999,1.78,6.5675282
1989,5,0,other external,15-17 yrs,28,106585,16.023821,0,.2016129,1.08,.13,.56999999,1.78,26.270113
1989,5,0,internal,15-17 yrs,20,106585,16.023821,0,.2016129,1.08,.13,.56999999,1.78,18.764366
1989,5,0,all,18-20 yrs,130,109799,18.979855,0,.2016129,1.08,.13,.56999999,1.78,118.39816
1989,5,0,MVA,18-20 yrs,62,109799,18.979855,0,.2016129,1.08,.13,.56999999,1.78,56.466816
1989,5,0,suicide,18-20 yrs,10,109799,18.979855,0,.2016129,1.08,.13,.56999999,1.78,9.1075506
1989,5,0,homicide,18-20 yrs,20,109799,18.979855,0,.2016129,1.08,.13,.56999999,1.78,18.215101
1989,5,0,other external,18-20 yrs,19,109799,18.979855,0,.2016129,1.08,.13,.56999999,1.78,17.304346
1989,5,0,internal,18-20 yrs,19,109799,18.979855,0,.2016129,1.08,.13,.56999999,1.78,17.304346
1989,5,0,all,21-24 yrs,173,132461,22.528843,1,.2016129,1.08,.13,.56999999,1.78,130.60448
1989,5,0,MVA,21-24 yrs,65,132461,22.528843,1,.2016129,1.08,.13,.56999999,1.78,49.071049
1989,5,0,suicide,21-24 yrs,20,132461,22.528843,1,.2016129,1.08,.13,.56999999,1.78,15.098783
1989,5,0,homicide,21-24 yrs,30,132461,22.528843,1,.2016129,1.08,.13,.56999999,1.78,22.648176
1989,5,0,other external,21-24 yrs,16,132461,22.528843,1,.2016129,1.08,.13,.56999999,1.78,12.079027
1989,5,0,internal,21-24 yrs,42,132461,22.528843,1,.2016129,1.08,.13,.56999999,1.78,31.707445
1990,5,0,MVA,15-17 yrs,43,105007,16.006399,0,.19127774,1.12,.13,.61000001,1.86,40.94965
1990,5,0,suicide,15-17 yrs,12,105007,16.006399,0,.19127774,1.12,.13,.61000001,1.86,11.42781
1990,5,0,homicide,15-17 yrs,6,105007,16.006399,0,.19127774,1.12,.13,.61000001,1.86,5.7139049
1990,5,0,other external,15-17 yrs,22,105007,16.006399,0,.19127774,1.12,.13,.61000001,1.86,20.950985
1990,5,0,internal,15-17 yrs,26,105007,16.006399,0,.19127774,1.12,.13,.61000001,1.86,24.760254
1990,5,0,all,18-20 yrs,140,110801,19.00852,0,.19127774,1.12,.13,.61000001,1.86,126.35265
1990,5,0,MVA,18-20 yrs,56,110801,19.00852,0,.19127774,1.12,.13,.61000001,1.86,50.541061
1990,5,0,suicide,18-20 yrs,19,110801,19.00852,0,.19127774,1.12,.13,.61000001,1.86,17.14786
1990,5,0,homicide,18-20 yrs,21,110801,19.00852,0,.19127774,1.12,.13,.61000001,1.86,18.952898
1990,5,0,other external,18-20 yrs,13,110801,19.00852,0,.19127774,1.12,.13,.61000001,1.86,11.732746
1990,5,0,internal,18-20 yrs,31,110801,19.00852,0,.19127774,1.12,.13,.61000001,1.86,27.978086
1990,5,0,all,21-24 yrs,163,128067,22.482162,1,.19127774,1.12,.13,.61000001,1.86,127.27713
1990,5,0,MVA,21-24 yrs,57,128067,22.482162,1,.19127774,1.12,.13,.61000001,1.86,44.507954
