sheet,chain,co_owned,state,empft,emppt,wage_st,empft2,emppt2,wage_st2,fte,fte2,dfte,gap,dw,sample
249,1,0,1,6,6,4.3699999,10,12,5.0500002,9,16,7,.15560643,.68000031,1
250,2,1,1,1,4,4.5,2,4,5.0500002,3,4,1,.12222222,.55000019,1
253,3,1,1,7,7,4.8699999,4,8,5.0500002,10.5,8,-2.5,.036961012,.18000031,1
257,1,0,1,20,10,4.25,,,,25,,,.1882353,,0
258,1,0,1,4,22,4.25,20,18,5.0500002,15,29,14,.1882353,.80000019,1
260,1,1,1,10,20,4.25,4,26,5.0500002,20,17,-3,.1882353,.80000019,1
262,1,0,1,7,13,4.25,0,22.5,5.0500002,13.5,11.25,-2.25,.1882353,.80000019,1
264,1,0,1,0,10,4.25,0,23,5.0500002,5,11.5,6.5,.1882353,.80000019,1
265,1,0,1,0,20,4.25,0,0,,10,0,-10,.1882353,,0
267,1,0,1,6.5,20,4.25,30,25,5.0500002,16.5,42.5,26,.1882353,.80000019,1
269,2,1,1,2,10,4.4499998,10,3,5.0500002,7,11.5,4.5,.1348315,.60000038,1
273,2,1,1,2,14,4.6199999,2,11,5.0500002,9,7.5,-1.5,.093073621,.43000031,1
275,2,1,1,4,4,4.25,1,8,5.0500002,6,5,-1,.1882353,.80000019,1
277,2,1,1,2,15,4.25,1,14,5.0500002,9.5,8,-1.5,.1882353,.80000019,1
278,2,1,1,3,4,4.25,0,9,5.0500002,5,4.5,-.5,.1882353,.80000019,1
282,3,1,1,2,14,4.25,0,0,,9,0,-9,.1882353,,0
284,3,1,1,5,23,4.5,6,12,5.0500002,16.5,12,-4.5,.12222222,.55000019,1
285,3,1,1,3,25,4.75,3,15,5.0500002,15.5,10.5,-5,.063157894,.30000019,1
286,3,1,1,1,15,4.75,2,15,5.0500002,8.5,9.5,1,.063157894,.30000019,1
287,3,1,1,3,18,4.5,2,15,5.0500002,12,9.5,-2.5,.12222222,.55000019,1
288,3,1,1,0,20,4.75,5,9,5.0500002,10,9.5,-.5,.063157894,.30000019,1
289,3,1,1,2,12,4.25,3,10,5.0500002,8,8,0,.1882353,.80000019,1
290,4,0,1,8,12,4.75,0,23,5.0500002,14,11.5,-2.5,.063157894,.30000019,1
291,4,0,1,4,20,4.5500002,5,16,5.0999999,14,13,-1,.10989007,.54999971,1
292,4,0,1,10,15,4.8000002,15,11,5.0500002,17.5,20.5,3,.052083291,.25,1
295,1,0,1,8,9,4.75,,21,5.0500002,12.5,,,.063157894,.30000019,0
297,1,1,1,9,15,4.25,15,30,5.0500002,16.5,30,13.5,.1882353,.80000019,1
303,3,1,1,10,35,4.3499999,12,35,5.0500002,27.5,29.5,2,.16091956,.70000029,1
304,3,0,1,10,20,4.5,10,15,5.0500002,20,17.5,-2.5,.12222222,.55000019,1
305,3,1,1,0,20,4.3899999,5,22,5.0500002,10,16,6,.15034172,.66000032,1
307,3,1,1,17.5,17.5,4.25,25,25,5.1999998,26.25,37.5,11.25,.1882353,.94999981,1
310,4,0,1,0,28,4.25,3,23,5.0500002,14,14.5,.5,.1882353,.80000019,1
312,1,0,1,4,6,4.25,3,2,5.0500002,7,4,-3,.1882353,.80000019,1
313,1,0,1,11,9,4.5,0,30,5.0500002,15.5,15,-.5,.12222222,.55000019,0
314,1,0,1,8,12,4.6199999,15,6,5.25,14,18,4,.093073621,.63000011,1
316,1,1,1,15,15,4.6199999,12,14,5.0500002,22.5,19,-3.5,.093073621,.43000031,1
317,1,0,1,0,8,4.25,4,0,5.0500002,4,4,0,.1882353,.80000019,1
318,2,0,1,5,7,4.75,7,6,5.0500002,8.5,10,1.5,.063157894,.30000019,1
319,2,0,1,0,11,4.6199999,22,4,5.0500002,5.5,24,18.5,.093073621,.43000031,1
322,3,1,1,8,13,4.75,12,5,5.0500002,14.5,14.5,0,.063157894,.30000019,1
325,3,1,1,4,15,4.5,1,15,5.0500002,11.5,8.5,-3,.12222222,.55000019,1
333,1,0,1,2,16.5,4.25,3,20,5.0500002,10.25,13,2.75,.1882353,.80000019,1
336,1,0,1,28,12,4.5,10,20,5.0500002,34,20,-14,.12222222,.55000019,1
337,1,1,1,5,29.5,4.8699999,25,5,5.0500002,19.75,27.5,7.75,.036961012,.18000031,1
339,1,1,1,18,6,4.25,5,9,5.0500002,21,9.5,-11.5,.1882353,.80000019,1
340,1,0,1,6,30,4.25,15,17,5.0500002,21,23.5,2.5,.1882353,.80000019,1
341,2,1,1,2,7,4.6199999,3,7,5.0500002,5.5,6.5,1,.093073621,.43000031,1
343,2,1,1,10,6,4.75,4,11,5.0500002,13,9.5,-3.5,.063157894,.30000019,1
346,2,1,1,2,10.5,4.25,3,12,,7.25,9,1.75,.1882353,,0
348,3,1,1,3,10.5,4.25,0,0,,8.25,0,-8.25,.1882353,,0
350,3,1,1,8,9,4.75,5,20,5.0500002,12.5,15,2.5,.063157894,.30000019,1
351,3,1,1,2,27.5,4.25,10,20,5.0500002,15.75,20,4.25,.1882353,.80000019,1
352,3,1,1,0,19,4.75,,,,9.5,,,.063157894,,0
353,3,1,1,7.5,22.5,4.3699999,,31,5.0500002,18.75,,,.15560643,.68000031,0
355,4,0,1,2,17,4.8699999,3,17,,10.5,11.5,1,.036961012,,0
359,1,1,1,0,22,4.25,0,26,5.0500002,11,13,2,.1882353,.80000019,1
360,1,0,1,3,25,4.25,5,32,5.0500002,15.5,21,5.5,.1882353,.80000019,1
361,1,0,1,6,13,4.25,4,23,5.0500002,12.5,15.5,3,.1882353,.80000019,1
362,2,0,1,6,13,4.25,24,4,5.0500002,12.5,26,13.5,.1882353,.80000019,0
363,2,0,1,0,25,4.25,14,7,5.1999998,12.5,17.5,5,.1882353,.94999981,1
364,2,0,1,3.5,20,4.25,1,30,5.0500002,13.5,16,2.5,.1882353,.80000019,1
366,3,0,1,2,17,4.5,1,19,5.0500002,10.5,10.5,0,.12222222,.55000019,1
368,4,0,1,0,20,4.25,0,25,5.0500002,10,12.5,2.5,.1882353,.80000019,1
369,1,1,1,0,15,4.3499999,0,0,,7.5,0,-7.5,.16091956,,0
370,1,0,1,20,11.5,4.8499999,26,5,5.0500002,25.75,28.5,2.75,.041237134,.20000029,1
376,1,0,1,4,10,4.5,0,17,5.0500002,9,8.5,-.5,.12222222,.55000019,1
377,1,0,1,12,6,4.25,11,12,5.0500002,15,17,2,.1882353,.80000019,1
379,1,0,1,20,12,4.6199999,28,6,5.0500002,26,31,5,.093073621,.43000031,1
380,1,0,1,10,15,4.5,15,14,5.0500002,17.5,22,4.5,.12222222,.55000019,1
383,1,0,1,6,4,4.5,7,2,5.0500002,8,8,0,.12222222,.55000019,1
384,1,0,1,,,4.6500001,0,30,5.0500002,,15,,.086021483,.4000001,0
385,1,0,1,16,14,4.25,15,14,5.0500002,23,22,-1,.1882353,.80000019,1
386,1,0,1,0,19,4.25,14,10,5.0500002,9.5,19,9.5,.1882353,.80000019,1
391,2,0,1,15,5,4.25,12,7,5.0500002,17.5,15.5,-2,.1882353,.80000019,1
393,2,1,1,4,10,4.6199999,18,4,5.25,9,20,11,.093073621,.63000011,1
396,3,1,1,24,16,4.8699999,8,30,5.4000001,32,23,-9,.036961012,.53000021,1
397,3,1,1,4,28,4.25,6,15,5.0500002,18,13.5,-4.5,.1882353,.80000019,1
398,3,1,1,14,13,4.75,25,15,5.0500002,20.5,32.5,12,.063157894,.30000019,1
399,3,1,1,13,8,4.8699999,18,18,5.0500002,17,27,10,.036961012,.18000031,1
400,3,1,1,16,15,4.5,8,24,5.0500002,23.5,20,-3.5,.12222222,.55000019,1
401,3,0,1,8,6,4.25,5,27,5.0500002,11,18.5,7.5,.1882353,.80000019,1
402,3,1,1,11,10,4.75,17,5,5.0500002,16,19.5,3.5,.063157894,.30000019,1
405,3,1,1,6,17,4.3200002,1.5,15,5.0500002,14.5,9,-5.5,.16898143,.73000002,1
410,1,0,1,0,35,4.25,0,35,5.0500002,17.5,17.5,0,.1882353,.80000019,1
411,1,0,1,0,36,4.5,4,36,5.0500002,18,22,4,.12222222,.55000019,1
412,2,0,1,0,17,4.5,0,13,5.0500002,8.5,6.5,-2,.12222222,.55000019,1
413,1,0,1,0,36,4.25,0,20,5.0500002,18,10,-8,.1882353,.80000019,1
414,1,0,1,0,36,4.25,13,9,5.0500002,18,17.5,-.5,.1882353,.80000019,1
415,1,0,1,8,32,4.25,0,38,5.0500002,24,19,-5,.1882353,.80000019,1
417,1,1,1,4,28,4.25,13,17,5.0500002,18,21.5,3.5,.1882353,.80000019,1
418,1,0,1,30,15,4.25,0,35,5.0500002,37.5,17.5,-20,.1882353,.80000019,1
419,2,1,1,3,10,4.25,5,5,5.0500002,8,7.5,-.5,.1882353,.80000019,1
421,2,1,1,20,10,4.6199999,25,7,5.0500002,25,28.5,3.5,.093073621,.43000031,1
422,2,0,1,0,7,4.75,5,10,5.0500002,3.5,10,6.5,.063157894,.30000019,1
423,2,1,1,2,10,4.9499998,19,3.5,5.25,7,20.75,13.75,.020202059,.30000019,1
424,2,1,1,3.5,6.5,4.75,12,3,5.25,6.75,13.5,6.75,.063157894,.5,1
426,3,1,1,3,33,4.25,5,25,5.0500002,19.5,17.5,-2,.1882353,.80000019,1
427,4,0,1,7,8,4.75,0,35,5.0500002,11,17.5,6.5,.063157894,.30000019,1
428,4,0,1,0,33,4.6199999,10,24,5.1399999,16.5,22,5.5,.093073621,.51999998,1
